0.00.139.779 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.248.033 I srv    load_model: loading model '<VAULT>/models/gguf/Mistral-Large-3/UD-IQ1_S/Mistral-Large-3-675B-Instruct-2512-UD-IQ1_S-00001-of-00004.gguf'
0.00.717.251 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
2.01.458.005 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
2.06.108.217 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
2.06.124.386 I srv  llama_server: model loaded
2.06.124.393 I srv  llama_server: listening on http://127.0.0.1:8104
2.23.209.587 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.23.209.618 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
17.54.880.868 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   1.70 t/s, tg_3s =   1.70 t/s
17.58.071.069 I slot print_timing: id  0 | task 0 | n_decoded =    111, tg =   1.79 t/s, tg_3s =   3.45 t/s
18.01.768.876 I slot print_timing: id  0 | task 0 | n_decoded =    119, tg =   1.81 t/s, tg_3s =   2.16 t/s
18.04.984.966 I slot print_timing: id  0 | task 0 | n_decoded =    128, tg =   1.86 t/s, tg_3s =   2.80 t/s
18.08.002.319 I slot print_timing: id  0 | task 0 | n_decoded =    134, tg =   1.87 t/s, tg_3s =   1.99 t/s
18.11.411.806 I slot print_timing: id  0 | task 0 | n_decoded =    139, tg =   1.85 t/s, tg_3s =   1.47 t/s
18.14.859.580 I slot print_timing: id  0 | task 0 | n_decoded =    145, tg =   1.84 t/s, tg_3s =   1.74 t/s
18.17.972.236 I slot print_timing: id  0 | task 0 | n_decoded =    155, tg =   1.90 t/s, tg_3s =   3.21 t/s
18.21.143.989 I slot print_timing: id  0 | task 0 | n_decoded =    163, tg =   1.92 t/s, tg_3s =   2.52 t/s
18.24.294.726 I slot print_timing: id  0 | task 0 | n_decoded =    172, tg =   1.95 t/s, tg_3s =   2.86 t/s
18.27.475.015 I slot print_timing: id  0 | task 0 | n_decoded =    184, tg =   2.02 t/s, tg_3s =   3.77 t/s
18.30.497.682 I slot print_timing: id  0 | task 0 | n_decoded =    192, tg =   2.04 t/s, tg_3s =   2.65 t/s
18.32.989.792 I slot print_timing: id  0 | task 0 | prompt eval time =  872974.69 ms /   557 tokens ( 1567.28 ms per token,     0.64 tokens per second)
18.32.989.798 I slot print_timing: id  0 | task 0 |        eval time =   96805.42 ms /   200 tokens (  484.03 ms per token,     2.07 tokens per second)
18.32.989.798 I slot print_timing: id  0 | task 0 |       total time =  969780.10 ms /   757 tokens
18.32.990.162 I slot print_timing: id  0 | task 0 |    graphs reused =          0
18.32.991.696 I slot      release: id  0 | task 0 | stop processing: n_tokens = 756, truncated = 0
18.33.074.431 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.737
18.33.074.486 I slot launch_slot_: id  0 | task 201 | processing task, is_child = 0
18.33.074.493 W slot   operator(): id  0 | task 201 | need to evaluate at least 1 token for each active slot (n_past = 557, task.n_tokens() = 557)
18.33.074.494 W slot   operator(): id  0 | task 201 | n_past was set to 556
18.49.869.842 I slot print_timing: id  0 | task 201 | n_decoded =    100, tg =   6.22 t/s, tg_3s =   6.22 t/s
18.52.882.022 I slot print_timing: id  0 | task 201 | n_decoded =    119, tg =   6.23 t/s, tg_3s =   6.31 t/s
18.55.962.031 I slot print_timing: id  0 | task 201 | n_decoded =    137, tg =   6.18 t/s, tg_3s =   5.84 t/s
18.58.981.673 I slot print_timing: id  0 | task 201 | n_decoded =    156, tg =   6.19 t/s, tg_3s =   6.29 t/s
19.02.119.951 I slot print_timing: id  0 | task 201 | n_decoded =    172, tg =   6.07 t/s, tg_3s =   5.10 t/s
19.05.291.502 I slot print_timing: id  0 | task 201 | n_decoded =    186, tg =   5.91 t/s, tg_3s =   4.41 t/s
19.08.156.937 I slot print_timing: id  0 | task 201 | prompt eval time =     719.38 ms /     1 tokens (  719.38 ms per token,     1.39 tokens per second)
19.08.156.942 I slot print_timing: id  0 | task 201 |        eval time =   34363.03 ms /   200 tokens (  171.82 ms per token,     5.82 tokens per second)
19.08.156.953 I slot print_timing: id  0 | task 201 |       total time =   35082.40 ms /   201 tokens
19.08.156.954 I slot print_timing: id  0 | task 201 |    graphs reused =          0
19.08.156.990 I slot      release: id  0 | task 201 | stop processing: n_tokens = 756, truncated = 0
19.08.186.686 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.737
19.08.186.726 I slot launch_slot_: id  0 | task 402 | processing task, is_child = 0
19.08.186.741 W slot   operator(): id  0 | task 402 | need to evaluate at least 1 token for each active slot (n_past = 557, task.n_tokens() = 557)
