0.00.144.068 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.249.737 W srv  llama_server: -----------------
0.00.249.739 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.249.739 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.249.739 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.249.739 W srv  llama_server: -----------------
0.00.250.948 I srv    load_model: loading model '<VAULT>/models/gguf/Mistral-Large-3/UD-IQ1_S/Mistral-Large-3-675B-Instruct-2512-UD-IQ1_S-00001-of-00004.gguf'
0.00.640.460 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
3.28.788.139 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
3.30.622.359 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
3.30.631.002 I srv  llama_server: model loaded
3.30.631.006 I srv  llama_server: listening on http://127.0.0.1:8104
4.30.425.866 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.30.425.885 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
10.03.224.749 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   2.30 t/s, tg_3s =   2.30 t/s
10.06.261.992 I slot print_timing: id  3 | task 0 | n_decoded =    107, tg =   2.30 t/s, tg_3s =   2.30 t/s
10.09.114.712 I slot print_timing: id  3 | task 0 | prompt eval time =  289369.29 ms /   564 tokens (  513.07 ms per token,     1.95 tokens per second)
10.09.114.715 I slot print_timing: id  3 | task 0 |        eval time =   49319.49 ms /   113 tokens (  436.46 ms per token,     2.29 tokens per second)
10.09.114.715 I slot print_timing: id  3 | task 0 |       total time =  338688.78 ms /   677 tokens
10.09.115.204 I slot print_timing: id  3 | task 0 |    graphs reused =          0
10.09.117.039 I slot      release: id  3 | task 0 | stop processing: n_tokens = 676, truncated = 0
10.09.177.498 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.924 (> 0.100 thold), f_keep = 0.796
10.09.178.059 I slot launch_slot_: id  3 | task 114 | processing task, is_child = 0
10.56.884.233 I slot print_timing: id  3 | task 114 | n_decoded =    100, tg =   3.04 t/s, tg_3s =   3.04 t/s
10.59.939.441 I slot print_timing: id  3 | task 114 | n_decoded =    110, tg =   3.06 t/s, tg_3s =   3.27 t/s
11.02.955.523 I slot print_timing: id  3 | task 114 | prompt eval time =   14853.94 ms /    44 tokens (  337.59 ms per token,     2.96 tokens per second)
11.02.955.526 I slot print_timing: id  3 | task 114 |        eval time =   38923.13 ms /   120 tokens (  324.36 ms per token,     3.08 tokens per second)
11.02.955.526 I slot print_timing: id  3 | task 114 |       total time =   53777.07 ms /   164 tokens
11.02.955.527 I slot print_timing: id  3 | task 114 |    graphs reused =          0
11.02.955.594 I slot      release: id  3 | task 114 | stop processing: n_tokens = 701, truncated = 0
11.02.988.887 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.954 (> 0.100 thold), f_keep = 0.767
11.02.988.937 I slot launch_slot_: id  3 | task 235 | processing task, is_child = 0
11.40.954.958 I slot print_timing: id  3 | task 235 | prompt eval time =    6040.41 ms /    26 tokens (  232.32 ms per token,     4.30 tokens per second)
11.40.954.961 I slot print_timing: id  3 | task 235 |        eval time =   31925.58 ms /   100 tokens (  319.26 ms per token,     3.13 tokens per second)
11.40.954.961 I slot print_timing: id  3 | task 235 |       total time =   37965.99 ms /   126 tokens
11.40.954.962 I slot print_timing: id  3 | task 235 |    graphs reused =          0
11.40.955.150 I slot      release: id  3 | task 235 | stop processing: n_tokens = 663, truncated = 0
11.40.995.806 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
11.40.995.884 I slot launch_slot_: id  2 | task 336 | processing task, is_child = 0
12.25.550.622 I slot print_timing: id  2 | task 336 | n_decoded =    100, tg =   3.44 t/s, tg_3s =   3.44 t/s
12.28.731.421 I slot print_timing: id  2 | task 336 | n_decoded =    111, tg =   3.44 t/s, tg_3s =   3.46 t/s
12.29.873.648 I slot print_timing: id  2 | task 336 | prompt eval time =   15451.64 ms /    77 tokens (  200.67 ms per token,     4.98 tokens per second)
12.29.873.651 I slot print_timing: id  2 | task 336 |        eval time =   33402.10 ms /   115 tokens (  290.45 ms per token,     3.44 tokens per second)
12.29.873.651 I slot print_timing: id  2 | task 336 |       total time =   48853.73 ms /   192 tokens
12.29.873.652 I slot print_timing: id  2 | task 336 |    graphs reused =          0
12.29.873.903 I slot      release: id  2 | task 336 | stop processing: n_tokens = 191, truncated = 0
12.29.897.369 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
12.29.904.683 I slot launch_slot_: id  1 | task 452 | processing task, is_child = 0
12.41.752.150 I slot print_timing: id  1 | task 452 | prompt eval time =    8658.22 ms /    72 tokens (  120.25 ms per token,     8.32 tokens per second)
12.41.752.153 I slot print_timing: id  1 | task 452 |        eval time =    3183.10 ms /    12 tokens (  265.26 ms per token,     3.77 tokens per second)
12.41.752.153 I slot print_timing: id  1 | task 452 |       total time =   11841.32 ms /    84 tokens
12.41.752.190 I slot print_timing: id  1 | task 452 |    graphs reused =          0
12.41.752.350 I slot      release: id  1 | task 452 | stop processing: n_tokens = 620, truncated = 0
13.37.549.314 I srv    operator(): operator(): cleaning up before exit...
