0.00.122.104 W DEPRECATED: --mmap and --no-mmap are deprecated. use --load-mode mmap instead
0.00.125.265 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.239.510 W srv  llama_server: -----------------
0.00.239.512 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.239.512 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.239.512 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.239.513 W srv  llama_server: -----------------
0.00.240.744 I srv    load_model: loading model '<VAULT>/models/gguf/Mistral-Large-3/UD-IQ1_S/Mistral-Large-3-675B-Instruct-2512-UD-IQ1_S-00001-of-00004.gguf'
4.17.972.094 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
4.18.572.798 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
4.18.583.558 I srv  llama_server: model loaded
4.18.583.561 I srv  llama_server: listening on http://127.0.0.1:8104
4.28.225.418 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.28.225.502 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
4.45.170.466 I slot print_timing: id  3 | task 0 | prompt eval time =    6718.96 ms /   551 tokens (   12.19 ms per token,    82.01 tokens per second)
4.45.170.469 I slot print_timing: id  3 | task 0 |        eval time =   10225.92 ms /    38 tokens (  269.10 ms per token,     3.72 tokens per second)
4.45.170.470 I slot print_timing: id  3 | task 0 |       total time =   16944.89 ms /   589 tokens
4.45.170.470 I slot print_timing: id  3 | task 0 |    graphs reused =          0
4.45.171.876 I slot      release: id  3 | task 0 | stop processing: n_tokens = 588, truncated = 0
4.45.217.629 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.966 (> 0.100 thold), f_keep = 0.915
4.45.217.664 I slot launch_slot_: id  3 | task 39 | processing task, is_child = 0
5.16.422.338 I slot print_timing: id  3 | task 39 | n_decoded =    100, tg =   3.67 t/s, tg_3s =   3.67 t/s
5.19.458.529 I slot print_timing: id  3 | task 39 | n_decoded =    111, tg =   3.67 t/s, tg_3s =   3.62 t/s
5.21.928.684 I slot print_timing: id  3 | task 39 | prompt eval time =    3978.37 ms /    19 tokens (  209.39 ms per token,     4.78 tokens per second)
5.21.928.686 I slot print_timing: id  3 | task 39 |        eval time =   32732.57 ms /   120 tokens (  272.77 ms per token,     3.67 tokens per second)
5.21.928.687 I slot print_timing: id  3 | task 39 |       total time =   36710.94 ms /   139 tokens
5.21.928.687 I slot print_timing: id  3 | task 39 |    graphs reused =          0
5.21.928.779 I slot      release: id  3 | task 39 | stop processing: n_tokens = 676, truncated = 0
5.21.971.608 I srv    operator(): operator(): cleaning up before exit...
