0.00.144.170 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.262.920 W srv  llama_server: -----------------
0.00.262.922 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.262.922 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.262.922 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.262.922 W srv  llama_server: -----------------
0.00.265.044 I srv    load_model: loading model '<VAULT>/models/gguf/Mistral-Large-3/UD-IQ1_S/Mistral-Large-3-675B-Instruct-2512-UD-IQ1_S-00001-of-00004.gguf'
0.00.770.730 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.44.177.870 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
0.45.453.333 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.45.461.668 I srv  llama_server: model loaded
0.45.461.671 I srv  llama_server: listening on http://127.0.0.1:8104
0.49.104.871 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.49.104.895 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2.04.457.724 I slot print_timing: id  3 | task 0 | prompt eval time =   60759.82 ms /   551 tokens (  110.27 ms per token,     9.07 tokens per second)
2.04.457.727 I slot print_timing: id  3 | task 0 |        eval time =   14592.86 ms /    48 tokens (  304.02 ms per token,     3.29 tokens per second)
2.04.457.727 I slot print_timing: id  3 | task 0 |       total time =   75352.68 ms /   599 tokens
2.04.458.699 I slot print_timing: id  3 | task 0 |    graphs reused =          0
2.04.460.486 I slot      release: id  3 | task 0 | stop processing: n_tokens = 598, truncated = 0
2.04.509.317 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 0.903
2.04.509.497 I slot launch_slot_: id  3 | task 49 | processing task, is_child = 0
2.32.758.067 I slot print_timing: id  3 | task 49 | prompt eval time =    2438.74 ms /    10 tokens (  243.87 ms per token,     4.10 tokens per second)
2.32.758.069 I slot print_timing: id  3 | task 49 |        eval time =   25809.54 ms /    91 tokens (  283.62 ms per token,     3.53 tokens per second)
2.32.758.070 I slot print_timing: id  3 | task 49 |       total time =   28248.29 ms /   101 tokens
2.32.758.071 I slot print_timing: id  3 | task 49 |    graphs reused =          0
2.32.758.126 I slot      release: id  3 | task 49 | stop processing: n_tokens = 640, truncated = 0
2.32.769.322 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.966 (> 0.100 thold), f_keep = 0.841
2.32.769.343 I slot launch_slot_: id  3 | task 141 | processing task, is_child = 0
3.04.781.976 I slot print_timing: id  3 | task 141 | n_decoded =    100, tg =   3.59 t/s, tg_3s =   3.59 t/s
3.07.872.648 I slot print_timing: id  3 | task 141 | n_decoded =    111, tg =   3.58 t/s, tg_3s =   3.56 t/s
3.10.409.382 I slot print_timing: id  3 | task 141 | prompt eval time =    4134.41 ms /    19 tokens (  217.60 ms per token,     4.60 tokens per second)
3.10.409.385 I slot print_timing: id  3 | task 141 |        eval time =   33505.58 ms /   120 tokens (  279.21 ms per token,     3.58 tokens per second)
3.10.409.385 I slot print_timing: id  3 | task 141 |       total time =   37639.99 ms /   139 tokens
3.10.409.386 I slot print_timing: id  3 | task 141 |    graphs reused =          0
3.10.409.497 I slot      release: id  3 | task 141 | stop processing: n_tokens = 676, truncated = 0
3.10.434.332 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.182 (> 0.100 thold), f_keep = 0.796
3.10.434.366 I slot launch_slot_: id  3 | task 262 | processing task, is_child = 0
3.46.636.636 I slot print_timing: id  3 | task 262 | prompt eval time =   20710.75 ms /  2411 tokens (    8.59 ms per token,   116.41 tokens per second)
3.46.636.674 I slot print_timing: id  3 | task 262 |        eval time =   15491.47 ms /    56 tokens (  276.63 ms per token,     3.61 tokens per second)
3.46.636.675 I slot print_timing: id  3 | task 262 |       total time =   36202.22 ms /  2467 tokens
3.46.636.675 I slot print_timing: id  3 | task 262 |    graphs reused =          0
3.46.636.738 I slot      release: id  3 | task 262 | stop processing: n_tokens = 3004, truncated = 0
3.46.660.582 I srv    operator(): operator(): cleaning up before exit...
