0.00.131.760 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.235.748 W srv  llama_server: -----------------
0.00.235.750 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.235.750 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.235.750 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.235.750 W srv  llama_server: -----------------
0.00.236.993 I srv    load_model: loading model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.00.729.656 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.729.661 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.729.665 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.729.666 W model has unused tensor blk.64.attn_k.weight (size = 4300800 bytes) -- ignoring
0.00.729.668 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.729.673 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.729.675 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.729.676 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.729.677 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.729.679 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.729.680 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.729.682 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.729.683 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.729.685 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.729.689 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.992.182 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.01.994.962 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.994.991 I srv  llama_server: model loaded
0.01.994.993 I srv  llama_server: listening on http://127.0.0.1:8198
0.05.114.368 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.114.443 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.179.956 I slot print_timing: id  0 | task 0 | prompt eval time =     130.05 ms /    37 tokens (    3.51 ms per token,   284.51 tokens per second)
0.08.179.959 I slot print_timing: id  0 | task 0 |        eval time =    2935.44 ms /   195 tokens (   15.05 ms per token,    66.43 tokens per second)
0.08.179.960 I slot print_timing: id  0 | task 0 |       total time =    3065.49 ms /   232 tokens
0.08.179.964 I slot print_timing: id  0 | task 0 |    graphs reused =        194
0.08.179.998 I slot      release: id  0 | task 0 | stop processing: n_tokens = 231, truncated = 0
0.08.185.034 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.160
0.08.308.148 I slot launch_slot_: id  0 | task 197 | processing task, is_child = 0
0.11.052.060 I slot print_timing: id  0 | task 197 | prompt eval time =     101.82 ms /     4 tokens (   25.46 ms per token,    39.28 tokens per second)
0.11.052.063 I slot print_timing: id  0 | task 197 |        eval time =    2642.07 ms /   176 tokens (   15.01 ms per token,    66.61 tokens per second)
0.11.052.063 I slot print_timing: id  0 | task 197 |       total time =    2743.89 ms /   180 tokens
0.11.052.064 I slot print_timing: id  0 | task 197 |    graphs reused =        368
0.11.052.079 I slot      release: id  0 | task 197 | stop processing: n_tokens = 212, truncated = 0
0.11.057.682 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.175
0.11.220.513 I slot launch_slot_: id  0 | task 374 | processing task, is_child = 0
0.14.097.178 I slot print_timing: id  0 | task 374 | prompt eval time =     103.75 ms /     4 tokens (   25.94 ms per token,    38.55 tokens per second)
0.14.097.181 I slot print_timing: id  0 | task 374 |        eval time =    2772.89 ms /   182 tokens (   15.24 ms per token,    65.64 tokens per second)
0.14.097.182 I slot print_timing: id  0 | task 374 |       total time =    2876.65 ms /   186 tokens
0.14.097.182 I slot print_timing: id  0 | task 374 |    graphs reused =        548
0.14.097.203 I slot      release: id  0 | task 374 | stop processing: n_tokens = 218, truncated = 0
0.14.100.379 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.170
0.14.264.842 I slot launch_slot_: id  0 | task 557 | processing task, is_child = 0
