0.00.096.695 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.194.556 W srv  llama_server: -----------------
0.00.194.558 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.194.558 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.194.558 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.194.558 W srv  llama_server: -----------------
0.00.195.790 I srv    load_model: loading model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.02.227.949 I common_speculative_init_result: creating MTP draft context against the target model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.02.296.924 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.02.333.257 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.333.287 I srv  llama_server: model loaded
0.02.333.290 I srv  llama_server: listening on http://127.0.0.1:8198
0.05.109.461 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.109.581 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.296.215 I slot print_timing: id  0 | task 0 | n_decoded =    146, tg =  48.07 t/s, tg_3s =  48.07 t/s
0.09.214.838 I slot print_timing: id  0 | task 0 | prompt eval time =     149.13 ms /    37 tokens (    4.03 ms per token,   248.11 tokens per second)
0.09.214.842 I slot print_timing: id  0 | task 0 |        eval time =    3956.06 ms /   198 tokens (   19.98 ms per token,    50.05 tokens per second)
0.09.214.842 I slot print_timing: id  0 | task 0 |       total time =    4105.18 ms /   235 tokens
0.09.214.846 I slot print_timing: id  0 | task 0 |    graphs reused =         86
0.09.214.849 I slot print_timing: id  0 | task 0 | draft acceptance = 0.22287 (  115 accepted /   516 generated), mean len =  2.34
0.09.214.892 I slot      release: id  0 | task 0 | stop processing: n_tokens = 238, truncated = 0
0.09.221.020 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.155
0.09.337.541 I slot launch_slot_: id  0 | task 89 | processing task, is_child = 0
0.12.475.493 I slot print_timing: id  0 | task 89 | n_decoded =    151, tg =  49.84 t/s, tg_3s =  49.84 t/s
0.13.162.224 I slot print_timing: id  0 | task 89 | prompt eval time =     108.33 ms /     4 tokens (   27.08 ms per token,    36.92 tokens per second)
0.13.162.227 I slot print_timing: id  0 | task 89 |        eval time =    3716.30 ms /   177 tokens (   21.00 ms per token,    47.63 tokens per second)
0.13.162.227 I slot print_timing: id  0 | task 89 |       total time =    3824.63 ms /   181 tokens
0.13.162.227 I slot print_timing: id  0 | task 89 |    graphs reused =        166
0.13.162.231 I slot print_timing: id  0 | task 89 | draft acceptance = 0.20370 (   99 accepted /   486 generated), mean len =  2.22
0.13.162.253 I slot      release: id  0 | task 89 | stop processing: n_tokens = 217, truncated = 0
0.13.164.601 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.171
0.13.332.710 I slot launch_slot_: id  0 | task 172 | processing task, is_child = 0
0.16.465.247 I slot print_timing: id  0 | task 172 | n_decoded =    125, tg =  41.34 t/s, tg_3s =  41.34 t/s
0.17.754.026 I slot print_timing: id  0 | task 172 | prompt eval time =     108.53 ms /     4 tokens (   27.13 ms per token,    36.86 tokens per second)
0.17.754.030 I slot print_timing: id  0 | task 172 |        eval time =    4312.73 ms /   192 tokens (   22.46 ms per token,    44.52 tokens per second)
0.17.754.030 I slot print_timing: id  0 | task 172 |       total time =    4421.26 ms /   196 tokens
0.17.754.031 I slot print_timing: id  0 | task 172 |    graphs reused =        259
0.17.754.034 I slot print_timing: id  0 | task 172 | draft acceptance = 0.17908 (  101 accepted /   564 generated), mean len =  2.07
0.17.754.059 I slot      release: id  0 | task 172 | stop processing: n_tokens = 232, truncated = 0
0.17.759.551 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.159
0.17.923.067 I slot launch_slot_: id  0 | task 268 | processing task, is_child = 0
