0.00.153.051 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.262.059 I srv    load_model: loading model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.02.385.746 I common_speculative_init_result: creating MTP draft context against the target model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.02.456.688 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.02.493.824 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.493.854 I srv  llama_server: model loaded
0.02.493.857 I srv  llama_server: listening on http://<BRIDGE-IP>:8109
12.23.016.435 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
12.23.016.589 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
12.23.653.506 I slot print_timing: id  0 | task 0 | prompt eval time =     264.12 ms /    58 tokens (    4.55 ms per token,   219.60 tokens per second)
12.23.653.512 I slot print_timing: id  0 | task 0 |        eval time =     372.71 ms /    36 tokens (   10.35 ms per token,    96.59 tokens per second)
12.23.653.512 I slot print_timing: id  0 | task 0 |       total time =     636.83 ms /    94 tokens
12.23.653.515 I slot print_timing: id  0 | task 0 |    graphs reused =          2
12.23.653.519 I slot print_timing: id  0 | task 0 | draft acceptance = 0.73529 (   25 accepted /    34 generated), mean len =  5.17
12.23.653.562 I slot      release: id  0 | task 0 | stop processing: n_tokens = 94, truncated = 0
12.45.403.010 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.617
12.45.403.119 I slot launch_slot_: id  0 | task 15 | processing task, is_child = 0
12.45.727.932 I slot print_timing: id  0 | task 15 | prompt eval time =     128.04 ms /     4 tokens (   32.01 ms per token,    31.24 tokens per second)
12.45.727.936 I slot print_timing: id  0 | task 15 |        eval time =     196.70 ms /    18 tokens (   10.93 ms per token,    91.51 tokens per second)
12.45.727.936 I slot print_timing: id  0 | task 15 |       total time =     324.75 ms /    22 tokens
12.45.727.937 I slot print_timing: id  0 | task 15 |    graphs reused =          3
12.45.727.940 I slot print_timing: id  0 | task 15 | draft acceptance = 0.75000 (   15 accepted /    20 generated), mean len =  4.75
12.45.727.964 I slot      release: id  0 | task 15 | stop processing: n_tokens = 79, truncated = 0
12.45.732.865 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.123 (> 0.100 thold), f_keep = 0.506
12.45.733.065 I slot launch_slot_: id  0 | task 23 | processing task, is_child = 0
12.46.458.555 I slot print_timing: id  0 | task 23 | prompt eval time =     307.50 ms /   326 tokens (    0.94 ms per token,  1060.17 tokens per second)
12.46.458.559 I slot print_timing: id  0 | task 23 |        eval time =     417.95 ms /    51 tokens (    8.20 ms per token,   122.02 tokens per second)
12.46.458.559 I slot print_timing: id  0 | task 23 |       total time =     725.45 ms /   377 tokens
12.46.458.560 I slot print_timing: id  0 | task 23 |    graphs reused =          7
12.46.458.562 I slot print_timing: id  0 | task 23 | draft acceptance = 0.86364 (   38 accepted /    44 generated), mean len =  4.45
12.46.458.599 I slot      release: id  0 | task 23 | stop processing: n_tokens = 376, truncated = 0
12.46.468.109 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.851 (> 0.100 thold), f_keep = 0.864
12.46.468.207 I slot launch_slot_: id  0 | task 39 | processing task, is_child = 0
12.47.792.158 I slot print_timing: id  0 | task 39 | prompt eval time =     210.02 ms /    60 tokens (    3.50 ms per token,   285.68 tokens per second)
12.47.792.161 I slot print_timing: id  0 | task 39 |        eval time =    1113.86 ms /   141 tokens (    7.90 ms per token,   126.59 tokens per second)
12.47.792.162 I slot print_timing: id  0 | task 39 |       total time =    1323.89 ms /   201 tokens
12.47.792.162 I slot print_timing: id  0 | task 39 |    graphs reused =         15
12.47.792.165 I slot print_timing: id  0 | task 39 | draft acceptance = 0.89683 (  113 accepted /   126 generated), mean len =  5.19
12.47.792.208 I slot      release: id  0 | task 39 | stop processing: n_tokens = 525, truncated = 0
17.26.107.652 I srv    operator(): operator(): cleaning up before exit...
