prompt	effort	rep	prompt_tokens	reasoning_tokens	visible_tokens	completion_tokens	reasoning_chars	visible_chars	finish_reason	think_leak_in_content	wall_s	predicted_per_second
c5_budget	absent	1	99	123	64	190	549	346	stop	False	3.059	64.81334784603641
c5_budget	absent	2	99	123	64	190	549	346	stop	False	3.182	64.96443798542872
c5_budget	absent	3	99	123	64	190	549	346	stop	False	3.027	64.69494280658985
c5_budget	low	1	87	90	69	162	433	391	stop	False	2.69	64.92027105221243
c5_budget	low	2	87	90	69	162	433	391	stop	False	2.745	65.06817204509669
c5_budget	low	3	87	90	69	162	433	391	stop	False	2.596	64.86453384558857
c5_budget	medium	1	57	405	126	534	1810	686	stop	False	8.364	64.69416229252808
c5_budget	medium	2	57	405	126	534	1810	686	stop	False	8.449	64.90947502970248
c5_budget	medium	3	57	405	126	534	1810	686	stop	False	8.318	64.92700462735858
c5_budget	xhigh	1	99	123	64	190	549	346	stop	False	3.136	64.41234808569229
c5_budget	xhigh	2	99	123	64	190	549	346	stop	False	3.254	64.49279318628523
c5_budget	xhigh	3	99	123	64	190	549	346	stop	False	3.044	64.36707076018533
c6_toggle	absent	1	111	126	48	177	458	134	stop	False	2.865	64.5750940466533
c6_toggle	absent	2	111	126	48	177	458	134	stop	False	3.018	64.21740510601344
c6_toggle	absent	3	111	126	48	177	458	134	stop	False	2.837	64.5364977729408
c6_toggle	low	1	99	78	59	140	245	148	stop	False	2.369	64.56986482600745
c6_toggle	low	2	99	78	59	140	245	148	stop	False	2.415	64.91156383165023
c6_toggle	low	3	99	78	59	140	245	148	stop	False	2.257	64.74548039283273
c6_toggle	medium	1	69	122	118	243	378	345	stop	False	3.891	64.40531274634365
c6_toggle	medium	2	69	122	118	243	378	345	stop	False	3.995	64.29137488699196
c6_toggle	medium	3	69	122	118	243	378	345	stop	False	3.868	64.34315213379973
c6_toggle	xhigh	1	111	126	48	177	458	134	stop	False	2.92	64.85373456177115
c6_toggle	xhigh	2	111	126	48	177	458	134	stop	False	3.047	64.67889318244042
c6_toggle	xhigh	3	111	126	48	177	458	134	stop	False	2.843	64.41270979878348
marble	absent	1	112	399	137	539	1316	284	stop	False	8.529	64.78182072799112
marble	absent	2	112	399	137	539	1316	284	stop	False	8.412	64.80300608859173
marble	absent	3	112	399	137	539	1316	284	stop	False	8.413	64.8157708095068
marble	low	1	100	283	278	564	587	711	stop	False	8.883	64.97970278768695
marble	low	2	100	283	278	564	587	711	stop	False	8.952	65.01312387482837
marble	low	3	100	283	278	564	587	711	stop	False	8.788	64.8906678690458
marble	medium	1	70	339	309	651	714	797	stop	False	10.14	64.95244831259035
marble	medium	2	70	339	309	651	714	797	stop	False	10.256	64.92147098869208
marble	medium	3	70	339	309	651	714	797	stop	False	10.108	65.01036915388003
marble	xhigh	1	112	399	137	539	1316	284	stop	False	8.524	64.9664221409431
marble	xhigh	2	112	399	137	539	1316	284	stop	False	8.579	64.95063389645614
marble	xhigh	3	112	399	137	539	1316	284	stop	False	8.394	64.99294923144629
