effort   path      |       b10290 pre-merge |      b10453 post-merge
----------------------------------------------------------------------------
xhigh    toplevel  |                112 tok |                112 tok
medium   toplevel  |                112 tok |                 70 tok <== CHANGED
low      toplevel  |                112 tok |                100 tok <== CHANGED
absent   toplevel  |                112 tok |                112 tok
xhigh    kwargs    |                112 tok |                112 tok
medium   kwargs    |                 70 tok |                 70 tok
low      kwargs    |                100 tok |                100 tok
high     toplevel  |                112 tok |                112 tok
high     kwargs    |                112 tok |                112 tok
none     toplevel  |                 72 tok |                 72 tok
none     kwargs    |               HTTP 500 |               HTTP 500
ultra    toplevel  |                112 tok |               HTTP 500 <== CHANGED
ultra    kwargs    |               HTTP 500 |               HTTP 500
