treatment,subset,prompt_id,cycle,baseline_value,treatment_value,pct_change,n_baseline_obs,n_treatment_obs
gate_0.50,prose,prose_07,1,9.861662719860256,12.966087952414107,31.479734409309042,1,1
gate_0.50,prose,prose_04,1,9.85085668253909,11.958301878407001,21.393522043655494,1,1
gate_0.50,structured,structured_02,1,10.22148507668562,15.126846759669242,47.99069456328177,1,1
gate_0.50,structured,structured_05,1,10.1703397455531,11.854760622556787,16.562090541175742,1,1
gate_0.50,prose,prose_03,1,9.868003546380082,10.900583402522726,10.46391857572273,1,1
gate_0.50,structured,structured_07,1,9.928929113735823,13.126243418411457,32.202005554178285,1,1
gate_0.50,prose,prose_01,1,10.03844271790706,11.887793429445098,18.422685305949667,1,1
gate_0.50,prose,prose_05,1,9.844074569743409,11.58853184507178,17.720886437513453,1,1
gate_0.50,prose,prose_02,1,9.92482008095551,13.132353551475449,32.3183034488937,1,1
gate_0.50,structured,structured_06,1,10.183519220500305,15.809931025485152,55.250171214469695,1,1
gate_0.50,structured,structured_08,1,9.962637588497653,17.677684096844708,77.43979884658705,1,1
gate_0.50,prose,prose_06,1,10.234310124072747,12.05158512746695,17.75669274590066,1,1
gate_0.50,prose,prose_08,1,9.85967750025386,12.068943229043914,22.4070790219373,1,1
gate_0.50,structured,structured_04,1,10.24552950408247,14.115925505791852,37.77643703204574,1,1
gate_0.50,structured,structured_01,1,10.09872548461198,13.946685600498443,38.10342326613219,1,1
gate_0.50,structured,structured_03,1,10.65249869568539,14.861569989192054,39.51252578150022,1,1
gate_0.50,prose,prose_01,2,10.48618241207776,12.451398894659505,18.741009886670014,1,1
gate_0.50,structured,structured_07,2,10.557759650161083,13.978445388799427,32.399731117066615,1,1
gate_0.50,structured,structured_06,2,10.536350276749042,15.990191757746778,51.762150438685886,1,1
gate_0.50,structured,structured_02,2,10.515281602934397,14.094124113872432,34.034680630324935,1,1
gate_0.50,structured,structured_05,2,10.780208219881256,12.002262752984459,11.33609396198345,1,1
gate_0.50,structured,structured_03,2,11.112198954238975,15.8507388253618,42.64268387055122,1,1
gate_0.50,structured,structured_04,2,10.256237808548166,14.22654507669023,38.71114674069835,1,1
gate_0.50,prose,prose_02,2,10.454450376256895,13.375711390120962,27.942750778161837,1,1
gate_0.50,prose,prose_08,2,10.309625363823834,12.203764062976697,18.37252695718061,1,1
gate_0.50,structured,structured_08,2,10.466075171629663,17.57396346005531,67.91359866870596,1,1
gate_0.50,prose,prose_05,2,10.173756831887186,12.258309484603881,20.489507338952393,1,1
gate_0.50,prose,prose_06,2,10.277865293301948,12.42263998210188,20.867900362516654,1,1
gate_0.50,prose,prose_04,2,10.44017823251012,11.869437764023008,13.689991681006521,1,1
gate_0.50,prose,prose_03,2,10.386659515843311,11.571312690246957,11.40552621944171,1,1
gate_0.50,structured,structured_01,2,10.20391934490391,13.63968238948825,33.671013347437366,1,1
gate_0.50,prose,prose_07,2,10.387477681932532,11.146210259205578,7.304300432748439,1,1
gate_0.75,structured,structured_05,1,10.1703397455531,14.247685022960685,40.090551342597685,1,1
gate_0.75,structured,structured_07,1,9.928929113735823,12.60094855454738,26.911456514631034,1,1
gate_0.75,structured,structured_08,1,9.962637588497653,17.175733957212337,72.4014730500942,1,1
gate_0.75,structured,structured_04,1,10.24552950408247,14.748357187860613,43.94919444606481,1,1
gate_0.75,prose,prose_02,1,9.92482008095551,12.703530357741394,27.997588410875913,1,1
gate_0.75,prose,prose_07,1,9.861662719860256,12.227613548874837,23.991398775480608,1,1
gate_0.75,prose,prose_01,1,10.03844271790706,12.749563542278596,27.007384517274847,1,1
gate_0.75,prose,prose_08,1,9.85967750025386,12.564313779242894,27.431285444370754,1,1
gate_0.75,prose,prose_03,1,9.868003546380082,12.140966179981339,23.03366251256624,1,1
gate_0.75,prose,prose_05,1,9.844074569743409,12.04089626151174,22.31618296066598,1,1
gate_0.75,structured,structured_01,1,10.09872548461198,15.025969995233261,48.79075600311357,1,1
gate_0.75,prose,prose_06,1,10.234310124072747,12.263736871987648,19.829638962584898,1,1
gate_0.75,prose,prose_04,1,9.85085668253909,12.064495530030195,22.471536423982688,1,1
gate_0.75,structured,structured_06,1,10.183519220500305,15.780105105748712,54.95728700528199,1,1
gate_0.75,structured,structured_03,1,10.65249869568539,17.352441156692716,62.89550135050495,1,1
gate_0.75,structured,structured_02,1,10.22148507668562,15.052193356984235,47.2603368694151,1,1
gate_0.75,structured,structured_05,2,10.780208219881256,14.262574433659077,32.30332979427534,1,1
gate_0.75,prose,prose_01,2,10.48618241207776,12.659854646706863,20.728918773389964,1,1
gate_0.75,prose,prose_02,2,10.454450376256895,13.01287180172816,24.472079673185842,1,1
gate_0.75,prose,prose_06,2,10.277865293301948,12.434872804726886,20.986921407022653,1,1
gate_0.75,structured,structured_06,2,10.536350276749042,12.841632956851171,21.879328415924846,1,1
gate_0.75,structured,structured_03,2,11.112198954238975,17.70391676427295,59.31965254743239,1,1
gate_0.75,prose,prose_07,2,10.387477681932532,12.531361228275484,20.63911578911902,1,1
gate_0.75,prose,prose_04,2,10.44017823251012,12.27495092218172,17.574151023190613,1,1
gate_0.75,structured,structured_01,2,10.20391934490391,15.163816578405187,48.60776595591548,1,1
gate_0.75,prose,prose_08,2,10.309625363823834,12.518479870913417,21.42516754139668,1,1
gate_0.75,prose,prose_03,2,10.386659515843311,11.993044889054442,15.465851853147086,1,1
gate_0.75,structured,structured_04,2,10.256237808548166,15.054711060135343,46.785900845511215,1,1
gate_0.75,structured,structured_08,2,10.466075171629663,17.195577791935317,64.29824466144943,1,1
gate_0.75,structured,structured_02,2,10.515281602934397,14.770575617643,40.4677133280113,1,1
gate_0.75,prose,prose_05,2,10.173756831887186,12.056747535669826,18.508312464092523,1,1
gate_0.75,structured,structured_07,2,10.557759650161083,12.778608461315017,21.03522797206365,1,1
gate_0.90,structured,structured_05,1,10.1703397455531,15.223966546532719,49.68985232955739,1,1
gate_0.90,prose,prose_08,1,9.85967750025386,12.267073421232048,24.416578746274464,1,1
gate_0.90,prose,prose_06,1,10.234310124072747,12.482938106287158,21.97146612672284,1,1
gate_0.90,prose,prose_01,1,10.03844271790706,12.443413097404633,23.957604252773898,1,1
gate_0.90,prose,prose_03,1,9.868003546380082,12.412894953453364,25.789324001680498,1,1
gate_0.90,prose,prose_04,1,9.85085668253909,12.775662070194567,29.69087341245938,1,1
gate_0.90,structured,structured_02,1,10.22148507668562,14.710524270365735,43.917680845802444,1,1
gate_0.90,structured,structured_08,1,9.962637588497653,17.45125132639376,75.16697934031117,1,1
gate_0.90,prose,prose_07,1,9.861662719860256,12.160293702819466,23.308756831949154,1,1
